,date,year,month,day,weekday,weekday_name,weeknumber,is_weekend,is_business_day,is_holiday,holiday_name,Hourly
0,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı,0
1,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı,1
2,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı,2
3,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı,3
4,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı,4
5,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı,5
6,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı,6
7,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı,7
8,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı,8
9,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı,9
10,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı,10
11,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı,11
12,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı,12
13,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı,13
14,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı,14
15,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı,15
16,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı,16
17,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı,17
18,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı,18
19,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı,19
20,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı,20
21,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı,21
22,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı,22
23,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı,23
24,2017-01-02,2017,1,2,1,Monday,1,0,1,0,,0
25,2017-01-02,2017,1,2,1,Monday,1,0,1,0,,1
26,2017-01-02,2017,1,2,1,Monday,1,0,1,0,,2
27,2017-01-02,2017,1,2,1,Monday,1,0,1,0,,3
28,2017-01-02,2017,1,2,1,Monday,1,0,1,0,,4
29,2017-01-02,2017,1,2,1,Monday,1,0,1,0,,5
30,2017-01-02,2017,1,2,1,Monday,1,0,1,0,,6
31,2017-01-02,2017,1,2,1,Monday,1,0,1,0,,7
32,2017-01-02,2017,1,2,1,Monday,1,0,1,0,,8
33,2017-01-02,2017,1,2,1,Monday,1,0,1,0,,9
34,2017-01-02,2017,1,2,1,Monday,1,0,1,0,,10
35,2017-01-02,2017,1,2,1,Monday,1,0,1,0,,11
36,2017-01-02,2017,1,2,1,Monday,1,0,1,0,,12
37,2017-01-02,2017,1,2,1,Monday,1,0,1,0,,13
38,2017-01-02,2017,1,2,1,Monday,1,0,1,0,,14
39,2017-01-02,2017,1,2,1,Monday,1,0,1,0,,15
40,2017-01-02,2017,1,2,1,Monday,1,0,1,0,,16
41,2017-01-02,2017,1,2,1,Monday,1,0,1,0,,17
42,2017-01-02,2017,1,2,1,Monday,1,0,1,0,,18
43,2017-01-02,2017,1,2,1,Monday,1,0,1,0,,19
44,2017-01-02,2017,1,2,1,Monday,1,0,1,0,,20
45,2017-01-02,2017,1,2,1,Monday,1,0,1,0,,21
46,2017-01-02,2017,1,2,1,Monday,1,0,1,0,,22
47,2017-01-02,2017,1,2,1,Monday,1,0,1,0,,23
48,2017-01-03,2017,1,3,2,Tuesday,1,0,1,0,,0
